feat,cat,class,classcat,epsilon,nx,ncx,nc
pesoHistory,B*A***,academic,0,0.8876947488634699,287,208,754
pesoHistory,ABBB**,academic,1,1.8833916978893803,13,7,322
pesoHistory,AB*B**,academic,1,1.753477242224797,16,8,322
pesoHistory,ABB***,academic,1,1.2049701839908604,30,12,322
pesoHistory,AA*A**,academic,1,1.144955091504391,377,123,322
pesoHistory,AAAA**,academic,1,1.0370048866747263,348,113,322
pesoHistory,AAA***,academic,1,0.954943650392514,376,121,322
pesoHistory,AA****,academic,1,0.9338455347337398,425,136,322
pesoHistory,A*****,academic,1,0.8944771160722123,478,152,322
pesoHistory,*BBB**,academic,1,0.8837314920179925,160,53,322
pesoHistory,A*B***,academic,1,0.8252033717142783,79,27,322
