feat,cat,class,classcat,epsilon,nx,ncx,nc
pesoHistory,BBBB**,obesity,1,8.648728569526588,147,74,228
pesoHistory,BB*B**,obesity,1,8.423762330071035,153,75,228
pesoHistory,B*BB**,obesity,1,8.157393232547573,154,74,228
pesoHistory,*BBB**,obesity,1,7.950480876296071,160,75,228
pesoHistory,A*****,obesity,0,10.441204143515801,478,470,848
pesoHistory,AA****,obesity,0,9.977458881363859,425,419,848
pesoHistory,A*A***,obesity,0,9.744989534273355,399,394,848
pesoHistory,A**A**,obesity,0,9.708548507191102,414,407,848
pesoHistory,AAA***,obesity,0,9.423577331553952,376,371,848
pesoHistory,*A****,obesity,0,9.375934427527927,537,512,848
pesoHistory,AA*A**,obesity,0,9.311745632749222,377,371,848
pesoHistory,A*AA**,obesity,0,9.309217031959529,368,363,848
pesoHistory,AAAA**,obesity,0,9.017069526285653,348,343,848
pesoHistory,*AA***,obesity,0,8.812883331818368,466,445,848
