ev_folio;keyword;obesidad;id_gestud;estAv
127;AAAABB;1;Sec;0
294;BBAABA;0;Lic;0
185;_BAAAA;0;Lic;0
371;AAAAAA;0;Lic;0
751;_AAAAA;0;Bach;0
668;BBABBB;1;Sec;0
743;_BAAAB;0;Doc;1
150;BBBAAB;0;Bach;0
857;AAABBB;1;Lic;0
68;BBBBAA;0;Bach;0
820;BBBBBA;1;Prim;0
947;AABABA;1;Mast;1
645;BBBBBB;0;Doc;1
12;_BBBAB;0;Mast;1
742;AAAABB;1;Lic;0
882;BBAAAA;0;Mast;1
419;AAABBB;0;CarTec;0
621;BAAAAA;1;Doc;1
425;AAAABB;0;Mast;1
418;BBBAAA;0;Sec;0
763;AAAAAB;0;Lic;0
36;ABAAAA;1;Lic;0
49;AAABBB;0;Doc;1
94;AAAAAB;1;Bach;0
363;AAAAAB;0;Lic;0
288;_AAABB;0;Mast;1
887;BABBBB;0;Bach;0
32;_BBBBA;0;Lic;0
373;AAAAAA;0;Bach;0
827;AABBBB;1;Mast;1
1073;AAAABB;0;Sec;0
597;AAAAAB;0;Doc;1
1071;AAAAAA;1;Lic;0
979;_BBBBB;0;Mast;1
829;BBBBBB;0;Mast;1
176;_BBABA;0;Lic;0
801;_AAAAA;0;Mast;1
993;BABBBB;0;Bach;0
282;BBBBBB;0;Lic;0
172;_BBAAA;0;Mast;1
475;_AABBB;0;Prim;0
716;AAAAAA;1;Lic;0
661;AAAAAA;0;CarTec;0
624;_BBBBB;1;Lic;0
464;ABBBBB;0;Sec;0
893;BBBBBB;0;Sec;0
648;AAAABB;0;Doc;1
723;AABAAA;0;Mast;1
1023;_AABAA;0;Lic;0
1037;BBBAAB;1;Bach;0
341;BBBBBB;0;Doc;1
190;BBBBBB;1;Bach;0
604;AAAABB;0;Doc;1
112;_BBBBB;0;Bach;0
147;_ABBAA;0;Lic;0
542;_BBBBB;1;Lic;0
584;_AAABB;1;Sec;0
346;ABAAAA;0;Doc;1
721;BBBBBB;0;Lic;0
459;BAABBB;0;Sec;0
138;_BBAAA;0;Doc;1
299;BBBBBB;0;Doc;1
937;BAABAB;1;CarTec;0
617;_AABBB;0;Sec;0
356;BBAAAA;0;Lic;0
821;ABBBBB;1;Mast;1
125;BAAAAA;1;Lic;0
703;BBBBBB;0;Doc;1
1061;_BBBAB;1;Lic;0
594;AAAAAA;0;Doc;1
146;AAABBB;0;Lic;0
87;AAABAA;0;Lic;0
328;BBBBBB;0;Sec;0
171;AAAAAA;0;Doc;1
907;AAAAAA;1;CarTec;0
851;BBBBBB;0;Prim;0
122;_ABBBB;0;Sec;0
239;ABBBBB;1;Prim;0
921;BBBBBB;0;Mast;1
319;AAAAAA;0;Prim;0
30;BBAAAA;0;Doc;1
293;BAAAAA;0;Doc;1
765;BBBBBB;0;Mast;1
493;BBABBB;0;Mast;1
792;_BBABB;0;Doc;1
189;AAAAAA;0;Doc;1
1074;AAAAAA;0;Doc;1
841;BBBBBB;0;Sec;0
824;AAABBA;0;Mast;1
22;BBBBBB;0;Mast;1
414;AAABAB;0;Lic;0
714;AABBAB;0;Lic;0
781;AABBAA;0;CarTec;0
626;AAAAAB;1;CarTec;0
909;AAAABB;1;Lic;0
11;BBBBBB;0;Sec;0
113;AAAAAB;0;Mast;1
1080;AAAABB;0;Doc;1
972;ABBBAA;1;Lic;0
