,cat,class,classcat,epsilon,feat,nc,ncx,nx
73,**AB**,Apuesto,EM,0.8144172856982567,saludHistory,71,4,41
74,**A***,Apuesto,EM,-0.5150635657307956,saludHistory,71,50,813
75,**BA**,Apuesto,EM,0.40295211340427534,saludHistory,71,10,134
76,**BB**,Apuesto,EM,0.6049783107657407,saludHistory,71,10,126
77,**B***,Apuesto,EM,0.7104320525329291,saludHistory,71,20,260
78,***A**,Apuesto,EM,-0.4805001841777421,saludHistory,71,56,903
79,***B**,Apuesto,EM,0.9290273918627567,saludHistory,71,14,167
80,******,Apuesto,EM,0.0,saludHistory,71,71,1076
81,AAAA**,Apuesto,E,1.9444618192542684,saludHistory,52,31,457
82,AAAB**,Apuesto,E,-1.0326694776161442,saludHistory,52,0,21
83,AAA***,Apuesto,E,1.8613443033851755,saludHistory,52,32,481
84,AABA**,Apuesto,E,0.16243601810931582,saludHistory,52,2,37
85,AABB**,Apuesto,E,-1.1039701082909812,saludHistory,52,0,24
86,AAB***,Apuesto,E,-0.5659572193070342,saludHistory,52,2,61
87,AA*A**,Apuesto,E,1.9146807157501065,saludHistory,52,33,494
88,AA*B**,Apuesto,E,-1.5116733278059782,saludHistory,52,0,45
89,AA****,Apuesto,E,1.5524973783174887,saludHistory,52,34,543
90,ABAA**,Apuesto,E,-0.3034123583518038,saludHistory,52,2,51
91,ABAB**,Apuesto,E,-0.45069390943299864,saludHistory,52,0,4
92,ABA***,Apuesto,E,-0.41371404307874243,saludHistory,52,2,55
93,ABBA**,Apuesto,E,2.739139393200831,saludHistory,52,3,15
94,ABBB**,Apuesto,E,-0.9560661587986472,saludHistory,52,0,18
95,ABB***,Apuesto,E,1.1406257483951947,saludHistory,52,3,33
96,AB*A**,Apuesto,E,1.0391191167296046,saludHistory,52,5,66
97,AB*B**,Apuesto,E,-1.0569709078304854,saludHistory,52,0,22
98,AB****,Apuesto,E,0.37141809873064235,saludHistory,52,5,88
99,A*AA**,Apuesto,E,1.7481388349234372,saludHistory,52,33,508
100,A*AB**,Apuesto,E,-1.1267347735824966,saludHistory,52,0,25
101,A*A***,Apuesto,E,1.6307366120750806,saludHistory,52,34,536
102,A*BA**,Apuesto,E,1.608173076923077,saludHistory,52,5,52
103,A*BB**,Apuesto,E,-1.4604151806934904,saludHistory,52,0,42
104,A*B***,Apuesto,E,0.21991230258108313,saludHistory,52,5,94
105,A**A**,Apuesto,E,2.1550482397203954,saludHistory,52,38,560
106,A**B**,Apuesto,E,-1.8445443204217133,saludHistory,52,0,67
107,A*****,Apuesto,E,1.5788820293985,saludHistory,52,39,631
108,BAAA**,Apuesto,E,-1.0107304215222865,saludHistory,52,2,82
109,BAAB**,Apuesto,E,0.7619441542729817,saludHistory,52,1,10
110,BAA***,Apuesto,E,-0.7030140891714609,saludHistory,52,3,92
111,BABA**,Apuesto,E,-0.45069390943299864,saludHistory,52,0,4
112,BABB**,Apuesto,E,-0.5962120008855911,saludHistory,52,0,7
113,BAB***,Apuesto,E,-0.7473912964438375,saludHistory,52,0,11
114,BA*A**,Apuesto,E,-1.084144345755175,saludHistory,52,2,86
115,BA*B**,Apuesto,E,0.20180183819889366,saludHistory,52,1,17
116,BA****,Apuesto,E,-0.9086598968072271,saludHistory,52,3,103
117,BBAA**,Apuesto,E,-0.19413684901417957,saludHistory,52,8,177
118,BBAB**,Apuesto,E,-0.5519850541454906,saludHistory,52,0,6
119,BBA***,Apuesto,E,-0.29087651181214647,saludHistory,52,8,183
120,BBBA**,Apuesto,E,-1.4622354634402788,saludHistory,52,1,78
121,BBBB**,Apuesto,E,-1.4460192005888193,saludHistory,52,1,77
