,cat,class,classcat,epsilon,feat,nc,ncx,nx
88,AA*B**,AedadC,1,1.29985923968598,condiHistory,342,18,44
89,AA****,AedadC,1,0.3645617812122642,condiHistory,342,117,358
90,ABAA**,AedadC,1,1.039714177914107,condiHistory,342,10,24
91,ABAB**,AedadC,1,-0.9653393750344101,condiHistory,342,0,2
92,ABA***,AedadC,1,0.7311881003883954,condiHistory,342,10,26
93,ABBA**,AedadC,1,1.531521089642165,condiHistory,342,5,9
94,ABBB**,AedadC,1,0.6473230896916901,condiHistory,342,7,18
95,ABB***,AedadC,1,1.2583050608131134,condiHistory,342,12,28
96,AB*A**,AedadC,1,1.6864820341403615,condiHistory,342,15,33
97,AB*B**,AedadC,1,0.3088374896177388,condiHistory,342,7,20
98,AB****,AedadC,1,1.4134463380002638,condiHistory,342,22,54
99,A*AA**,AedadC,1,0.10638362298880834,condiHistory,342,101,315
100,A*AB**,AedadC,1,0.47345930395168767,condiHistory,342,7,19
101,A*A***,AedadC,1,0.33769561238848034,condiHistory,342,110,337
102,A*BA**,AedadC,1,0.7108672735179844,condiHistory,342,11,29
103,A*BB**,AedadC,1,1.1835795122344572,condiHistory,342,18,45
104,A*B***,AedadC,1,1.2800123524800864,condiHistory,342,29,75
105,A**A**,AedadC,1,0.3082000532111655,condiHistory,342,112,344
106,A**B**,AedadC,1,1.2504317497751731,condiHistory,342,25,64
107,A*****,AedadC,1,0.8515461720703332,condiHistory,342,139,412
108,BAAA**,AedadC,1,-1.094963494742043,condiHistory,342,20,77
109,BAAB**,AedadC,1,-1.3651960364664306,condiHistory,342,0,4
110,BAA***,AedadC,1,-1.437957145321401,condiHistory,342,20,82
111,BABA**,AedadC,1,1.8349814487951166,condiHistory,342,4,6
112,BABB**,AedadC,1,2.268735802600067,condiHistory,342,7,11
113,BAB***,AedadC,1,2.9151117468378565,condiHistory,342,11,17
114,BA*A**,AedadC,1,-0.561279261893821,condiHistory,342,24,83
115,BA*B**,AedadC,1,1.237845067790443,condiHistory,342,7,15
116,BA****,AedadC,1,-0.10069897196332761,condiHistory,342,31,99
117,BBAA**,AedadC,1,0.04296540656970053,condiHistory,342,75,235
118,BBAB**,AedadC,1,-0.3213540898112565,condiHistory,342,3,11
119,BBA***,AedadC,1,-0.025959811276308024,condiHistory,342,78,246
120,BBBA**,AedadC,1,-0.09148885519411047,condiHistory,342,50,159
121,BBBB**,AedadC,1,-1.1828891157787875,condiHistory,342,43,157
122,BBB***,AedadC,1,-0.8149738931088368,condiHistory,342,94,317
123,BB*A**,AedadC,1,-0.024936901332861493,condiHistory,342,125,394
124,BB*B**,AedadC,1,-1.2257371355136355,condiHistory,342,46,168
125,BB****,AedadC,1,-0.6286918248973952,condiHistory,342,172,563
126,B*AA**,AedadC,1,-0.5066723724031901,condiHistory,342,95,312
127,B*AB**,AedadC,1,-0.9801754033877698,condiHistory,342,3,15
128,B*A***,AedadC,1,-0.7414604287034335,condiHistory,342,98,328
129,B*BA**,AedadC,1,0.26010721469874376,condiHistory,342,54,165
130,B*BB**,AedadC,1,-0.5629767547032485,condiHistory,342,50,168
131,B*B***,AedadC,1,-0.13629510826471666,condiHistory,342,105,334
132,B**A**,AedadC,1,-0.2567946948778851,condiHistory,342,149,477
133,B**B**,AedadC,1,-0.8200341043181448,condiHistory,342,53,183
134,B*****,AedadC,1,-0.6187213005246732,condiHistory,342,203,662
135,*AAA**,AedadC,1,-0.6679593535746,condiHistory,342,111,368
136,*AAB**,AedadC,1,0.15243942922907147,condiHistory,342,7,21
137,*AA***,AedadC,1,-0.5321937875749687,condiHistory,342,120,393
138,*ABA**,AedadC,1,0.7311881003883954,condiHistory,342,10,26
139,*ABB**,AedadC,1,2.0631123834161755,condiHistory,342,18,38
140,*AB***,AedadC,1,2.0557776572520807,condiHistory,342,28,64
141,*A*A**,AedadC,1,-0.4577128018838014,condiHistory,342,121,394
142,*A*B**,AedadC,1,1.7466722452298606,condiHistory,342,25,59
143,*A****,AedadC,1,0.2757981241329854,condiHistory,342,148,457
144,*BAA**,AedadC,1,0.3574234244519287,condiHistory,342,85,259
145,*BAB**,AedadC,1,-0.6742400236434575,condiHistory,342,3,13
146,*BA***,AedadC,1,0.20137603565004095,condiHistory,342,88,272
147,*BBA**,AedadC,1,0.26547372130973657,condiHistory,342,55,168
