,cat,class,classcat,epsilon,feat,nc,ncx,nx
77,**B***,AedadC,0,2.3861335325113306,estresHistory,150,121,710
78,***A**,AedadC,0,-4.385954181380508,estresHistory,150,7,207
79,***B**,AedadC,0,1.7288057832315118,estresHistory,150,137,857
80,******,AedadC,0,0.0,estresHistory,150,150,1076
81,AAAA**,AedadC,1,-1.6374072583504848,estresHistory,342,25,103
82,AAAB**,AedadC,1,3.1846698438683823,estresHistory,342,54,119
83,AAA***,AedadC,1,1.2163212053760168,estresHistory,342,79,222
84,AABA**,AedadC,1,0.7351889456988616,estresHistory,342,5,12
85,AABB**,AedadC,1,3.5484101763430593,estresHistory,342,79,179
86,AAB***,AedadC,1,3.619411475758018,estresHistory,342,84,191
87,AA*A**,AedadC,1,-1.3698464248813724,estresHistory,342,30,116
88,AA*B**,AedadC,1,4.76259513275392,estresHistory,342,133,298
89,AA****,AedadC,1,3.315548969942237,estresHistory,342,163,414
90,ABAA**,AedadC,1,0.05761668853439338,estresHistory,342,1,3
91,ABAB**,AedadC,1,-0.9688765629140871,estresHistory,342,2,11
92,ABA***,AedadC,1,-0.9801754033877698,estresHistory,342,3,15
93,ABBA**,AedadC,1,1.4649910683718714,estresHistory,342,1,1
94,ABBB**,AedadC,1,-0.7038454671361515,estresHistory,342,21,75
95,ABB***,AedadC,1,-0.5311535711643699,estresHistory,342,22,76
96,AB*A**,AedadC,1,0.7823930501386559,estresHistory,342,2,4
97,AB*B**,AedadC,1,-1.003802407944747,estresHistory,342,23,86
98,AB****,AedadC,1,-0.725807546812525,estresHistory,342,26,92
99,A*AA**,AedadC,1,-1.6043771439719814,estresHistory,342,26,106
100,A*AB**,AedadC,1,2.765122435157342,estresHistory,342,56,130
101,A*A***,AedadC,1,0.9306110350020529,estresHistory,342,82,237
102,A*BA**,AedadC,1,1.1126621079830454,estresHistory,342,6,13
103,A*BB**,AedadC,1,2.5963501308648396,estresHistory,342,100,254
104,A*B***,AedadC,1,2.7778701532415067,estresHistory,342,106,267
105,A**A**,AedadC,1,-1.2039773819703115,estresHistory,342,32,120
106,A**B**,AedadC,1,3.7204819250437393,estresHistory,342,156,384
107,A*****,AedadC,1,2.689541505988631,estresHistory,342,189,506
108,BAAA**,AedadC,1,-2.0891856389768764,estresHistory,342,1,15
109,BAAB**,AedadC,1,1.017957522514196,estresHistory,342,15,38
110,BAA***,AedadC,1,-0.24948381388492008,estresHistory,342,16,53
111,BABA**,AedadC,1,0.6291525304065567,estresHistory,342,3,7
112,BABB**,AedadC,1,-0.6054825141261571,estresHistory,342,22,77
113,BAB***,AedadC,1,-0.3980846809010625,estresHistory,342,25,84
114,BA*A**,AedadC,1,-1.3701983755385312,estresHistory,342,4,22
115,BA*B**,AedadC,1,0.08970921059506645,estresHistory,342,37,115
116,BA****,AedadC,1,-0.5232992235041914,estresHistory,342,41,138
117,BBAA**,AedadC,1,-1.4862346008826202,estresHistory,342,6,31
118,BBAB**,AedadC,1,2.4114973370501693,estresHistory,342,19,38
119,BBA***,AedadC,1,0.9628110247811746,estresHistory,342,26,70
120,BBBA**,AedadC,1,-1.402036779092757,estresHistory,342,7,34
121,BBBB**,AedadC,1,-2.692479972040888,estresHistory,342,79,319
122,BBB***,AedadC,1,-3.1540501325945347,estresHistory,342,86,358
123,BB*A**,AedadC,1,-2.0403978107453216,estresHistory,342,13,65
124,BB*B**,AedadC,1,-1.7583879513269982,estresHistory,342,98,357
125,BB****,AedadC,1,-2.495242300147602,estresHistory,342,112,428
126,B*AA**,AedadC,1,-2.4130918538632846,estresHistory,342,7,46
127,B*AB**,AedadC,1,2.424990786971122,estresHistory,342,34,76
128,B*A***,AedadC,1,0.5625684015486919,estresHistory,342,42,123
129,B*BA**,AedadC,1,-1.0167892485124126,estresHistory,342,10,41
130,B*BB**,AedadC,1,-2.683567424154175,estresHistory,342,101,396
131,B*B***,AedadC,1,-3.012107581358124,estresHistory,342,111,442
132,B**A**,AedadC,1,-2.4526732519171506,estresHistory,342,17,87
133,B**B**,AedadC,1,-1.4849668526638136,estresHistory,342,135,472
134,B*****,AedadC,1,-2.4282268161379177,estresHistory,342,153,566
135,*AAA**,AedadC,1,-2.2746708285050743,estresHistory,342,26,118
136,*AAB**,AedadC,1,3.273413860659045,estresHistory,342,69,157
137,*AA***,AedadC,1,0.9833194433550417,estresHistory,342,95,275
138,*ABA**,AedadC,1,0.9661500303076028,estresHistory,342,8,19
139,*ABB**,AedadC,1,2.6350878174631642,estresHistory,342,101,256
140,*AB***,AedadC,1,2.7963823680429676,estresHistory,342,109,275
141,*A*A**,AedadC,1,-1.8030036882553475,estresHistory,342,34,138
142,*A*B**,AedadC,1,4.09288063062688,estresHistory,342,170,413
143,*A****,AedadC,1,2.609700023709207,estresHistory,342,204,552
144,*BAA**,AedadC,1,-1.402036779092757,estresHistory,342,7,34
145,*BAB**,AedadC,1,1.6645811321827522,estresHistory,342,21,49
146,*BA***,AedadC,1,0.46198073901092124,estresHistory,342,29,85
147,*BBA**,AedadC,1,-1.13423384932888,estresHistory,342,8,35
148,*BBB**,AedadC,1,-2.7606738980075503,estresHistory,342,100,395
149,*BB***,AedadC,1,-3.1160567643776087,estresHistory,342,108,435
150,*B*A**,AedadC,1,-1.7919948230069949,estresHistory,342,15,69
151,*B*B**,AedadC,1,-2.050904558467989,estresHistory,342,121,444
152,*B****,AedadC,1,-2.596502586537117,estresHistory,342,138,521
153,**AA**,AedadC,1,-2.667281829030518,estresHistory,342,33,152
154,**AB**,AedadC,1,3.669541319193172,estresHistory,342,90,206
155,**A***,AedadC,1,1.0839107327669095,estresHistory,342,124,360
156,**BA**,AedadC,1,-0.3400528084504871,estresHistory,342,16,54
157,**BB**,AedadC,1,-0.49798361898604804,estresHistory,342,201,651
158,**B***,AedadC,1,-0.6987121254552459,estresHistory,342,217,710
159,***A**,AedadC,1,-2.5067550403100753,estresHistory,342,49,207
160,***B**,AedadC,1,1.3650732713513825,estresHistory,342,291,857
161,******,AedadC,1,0.0,estresHistory,342,342,1076
162,AAAA**,AedadC,2,3.4800488459994368,estresHistory,485,64,103
163,AAAB**,AedadC,2,-1.0388094805561887,estresHistory,485,48,119
164,AAA***,AedadC,2,1.6098728218653349,estresHistory,485,112,222
165,AABA**,AedadC,2,-0.23724520506904084,estresHistory,485,5,12
166,AABB**,AedadC,2,-3.257183517502404,estresHistory,485,59,179
167,AAB***,AedadC,2,-3.2126703019941996,estresHistory,485,64,191
168,AA*A**,AedadC,2,3.305440103863665,estresHistory,485,70,116
169,AA*B**,AedadC,2,-3.1808635813200605,estresHistory,485,107,298
170,AA****,AedadC,2,-0.9490120951235899,estresHistory,485,177,414
171,ABAA**,AedadC,2,0.7516359451505529,estresHistory,485,2,3
172,ABAB**,AedadC,2,0.6313128951347777,estresHistory,485,6,11
173,ABA***,AedadC,2,1.1617871288558554,estresHistory,485,9,15
174,ABBA**,AedadC,2,-0.9058934694561961,estresHistory,485,0,1
175,ABBB**,AedadC,2,-1.3473370873329995,estresHistory,485,28,75
176,ABB***,AedadC,2,-1.4423567835866682,estresHistory,485,28,76
177,AB*A**,AedadC,2,0.1979890881698079,estresHistory,485,2,4
178,AB*B**,AedadC,2,-1.0324398676836317,estresHistory,485,34,86
179,AB****,AedadC,2,-0.9362804077117962,estresHistory,485,37,92
180,A*AA**,AedadC,2,3.556898365966141,estresHistory,485,66,106
181,A*AB**,AedadC,2,-0.8102477358748036,estresHistory,485,54,130
182,A*A***,AedadC,2,1.8503740889964193,estresHistory,485,121,237
183,A*BA**,AedadC,2,-0.47918746275414165,estresHistory,485,5,13
184,A*BB**,AedadC,2,-3.4664691262587355,estresHistory,485,87,254
185,A*B***,AedadC,2,-3.4867620808620017,estresHistory,485,92,267
186,A**A**,AedadC,2,3.286030228436899,estresHistory,485,72,120
187,A**B**,AedadC,2,-3.290719661236457,estresHistory,485,141,384
188,A*****,AedadC,2,-1.2576450457315786,estresHistory,485,214,506
189,BAAA**,AedadC,2,1.68070906768894,estresHistory,485,10,15
190,BAAB**,AedadC,2,-0.041814092761113204,estresHistory,485,17,38
191,BAA***,AedadC,2,0.8587231436226088,estresHistory,485,27,53
192,BABA**,AedadC,2,-0.8775209606131772,estresHistory,485,2,7
193,BABB**,AedadC,2,-0.8490906606167115,estresHistory,485,31,77
194,BAB***,AedadC,2,-1.0662608968319556,estresHistory,485,33,84
195,BA*A**,AedadC,2,0.8928112584006261,estresHistory,485,12,22
196,BA*B**,AedadC,2,-0.7188213022928515,estresHistory,485,48,115
197,BA****,AedadC,2,-0.3768288917422065,estresHistory,485,60,138
198,BBAA**,AedadC,2,2.1755272312467495,estresHistory,485,20,31
199,BBAB**,AedadC,2,-1.0199002625645508,estresHistory,485,14,38
200,BBA***,AedadC,2,0.5880335982157383,estresHistory,485,34,70
201,BBBA**,AedadC,2,1.9559274048029371,estresHistory,485,21,34
202,BBBB**,AedadC,2,0.9241551833937466,estresHistory,485,152,319
203,BBB***,AedadC,2,1.3419648561439828,estresHistory,485,174,358
204,BB*A**,AedadC,2,2.9170168369624023,estresHistory,485,41,65
205,BB*B**,AedadC,2,0.5408389948464396,estresHistory,485,166,357
206,BB****,AedadC,2,1.4651379067860903,estresHistory,485,208,428
207,B*AA**,AedadC,2,2.74569082657638,estresHistory,485,30,46
208,B*AB**,AedadC,2,-0.7507454203338806,estresHistory,485,31,76
209,B*A***,AedadC,2,1.0072949043038546,estresHistory,485,61,123
210,B*BA**,AedadC,2,1.4185600713610742,estresHistory,485,23,41
211,B*BB**,AedadC,2,0.4550408735672617,estresHistory,485,183,396
212,B*B***,AedadC,2,0.7429069457984914,estresHistory,485,207,442
213,B**A**,AedadC,2,2.9703304041763743,estresHistory,485,53,87
214,B**B**,AedadC,2,0.11554832642986179,estresHistory,485,214,472
215,B*****,AedadC,2,1.0879970846863563,estresHistory,485,268,566
216,*AAA**,AedadC,2,3.8505791995093643,estresHistory,485,74,118
217,*AAB**,AedadC,2,-0.9249693666000454,estresHistory,485,65,157
218,*AA***,AedadC,2,1.8234298767773287,estresHistory,485,139,275
219,*ABA**,AedadC,2,-0.7211783917933341,estresHistory,485,7,19
220,*ABB**,AedadC,2,-3.189305358961762,estresHistory,485,90,256
221,*AB***,AedadC,2,-3.2667204099186367,estresHistory,485,97,275
222,*A*A**,AedadC,2,3.387008038773201,estresHistory,485,82,138
223,*A*B**,AedadC,2,-3.0812657103746357,estresHistory,485,155,413
224,*A****,AedadC,2,-1.0102830287468256,estresHistory,485,237,552
225,*BAA**,AedadC,2,2.3006011499008667,estresHistory,485,22,34
226,*BAB**,AedadC,2,-0.5990370659585151,estresHistory,485,20,49
227,*BA***,AedadC,2,1.0216800086371876,estresHistory,485,43,85
228,*BBA**,AedadC,2,1.7746591531357907,estresHistory,485,21,35
229,*BBB**,AedadC,2,0.29895134491390973,estresHistory,485,181,395
230,*BB***,AedadC,2,0.6674548343885328,estresHistory,485,203,435
231,*B*A**,AedadC,2,2.878873555213117,estresHistory,485,43,69
232,*B*B**,AedadC,2,0.08296974473452841,estresHistory,485,201,444
233,*B****,AedadC,2,0.9828691314443472,estresHistory,485,246,521
234,**AA**,AedadC,2,4.480773940227146,estresHistory,485,96,152
235,**AB**,AedadC,2,-1.099660154686813,estresHistory,485,85,206
236,**A***,AedadC,2,2.0901384058422723,estresHistory,485,182,360
237,**BA**,AedadC,2,1.0009542367395952,estresHistory,485,28,54
238,**BB**,AedadC,2,-1.7671123850550068,estresHistory,485,271,651
239,**B***,AedadC,2,-1.510613948106731,estresHistory,485,300,710
240,***A**,AedadC,2,4.427598905298231,estresHistory,485,125,207
241,***B**,AedadC,2,-2.079294541888887,estresHistory,485,356,857
242,******,AedadC,2,0.0,estresHistory,485,485,1076
243,AAAA**,AedadC,3,0.8601740617456831,estresHistory,99,12,103
244,AAAB**,AedadC,3,-2.521042181045591,estresHistory,99,3,119
245,AAA***,AedadC,3,-1.2598612670547595,estresHistory,99,15,222
246,AABA**,AedadC,3,-0.10395910225950605,estresHistory,99,1,12
247,AABB**,AedadC,3,-1.6729395140376113,estresHistory,99,10,179
248,AAB***,AedadC,3,-1.6455917268776743,estresHistory,99,11,191
249,AA*A**,AedadC,3,0.7475503527691679,estresHistory,99,13,116
250,AA*B**,AedadC,3,-2.8896868120221484,estresHistory,99,13,298
251,AA****,AedadC,3,-2.055948571678885,estresHistory,99,26,414
252,ABAA**,AedadC,3,-0.5513545244834512,estresHistory,99,0,3
253,ABAB**,AedadC,3,-1.0557635354491237,estresHistory,99,0,11
254,ABA***,AedadC,3,-1.232866196447069,estresHistory,99,0,15
255,ABBA**,AedadC,3,-0.3183246831294386,estresHistory,99,0,1
256,ABBB**,AedadC,3,-1.5582726863683802,estresHistory,99,3,75
257,ABB***,AedadC,3,-1.5845012910638185,estresHistory,99,3,76
258,AB*A**,AedadC,3,-0.6366493662588772,estresHistory,99,0,4
259,AB*B**,AedadC,3,-1.832791466121196,estresHistory,99,3,86
260,AB****,AedadC,3,-1.9711448208177615,estresHistory,99,3,92
261,A*AA**,AedadC,3,0.7551591426562472,estresHistory,99,12,106
262,A*AB**,AedadC,3,-2.7191337590535962,estresHistory,99,3,130
263,A*A***,AedadC,3,-1.5295017632024934,estresHistory,99,15,237
264,A*BA**,AedadC,3,-0.1881680567939104,estresHistory,99,1,13
265,A*BB**,AedadC,3,-2.2511509613602816,estresHistory,99,13,254
266,A*B***,AedadC,3,-2.2371842677852647,estresHistory,99,14,267
267,A**A**,AedadC,3,0.6187498467237519,estresHistory,99,13,120
268,A**B**,AedadC,3,-3.412972929496111,estresHistory,99,16,384
269,A*****,AedadC,3,-2.7001744303668955,estresHistory,99,29,506
270,BAAA**,AedadC,3,1.447061131587368,estresHistory,99,3,15
271,BAAB**,AedadC,3,-0.27853808124635726,estresHistory,99,3,38
272,BAA***,AedadC,3,0.5339781506472518,estresHistory,99,6,53
