,cat,class,classcat,epsilon,feat,nc,ncx,nx
73,**AB**,Apuesto,EM,1.7981481215027741,estresHistory,71,20,206
74,**A***,Apuesto,EM,0.47668718234511814,estresHistory,71,26,360
75,**BA**,Apuesto,EM,0.7875903829233283,estresHistory,71,5,54
76,**BB**,Apuesto,EM,-0.4667248981309139,estresHistory,71,40,651
77,**B***,Apuesto,EM,-0.27958360265552024,estresHistory,71,45,710
78,***A**,Apuesto,EM,-0.744424194780912,estresHistory,71,11,207
79,***B**,Apuesto,EM,0.4748127069374055,estresHistory,71,60,857
80,******,Apuesto,EM,0.0,estresHistory,71,71,1076
81,AAAA**,Apuesto,E,-1.3681138671853177,estresHistory,52,2,103
82,AAAB**,Apuesto,E,0.5339174779899674,estresHistory,52,7,119
83,AAA***,Apuesto,E,-0.5409844809972221,estresHistory,52,9,222
84,AABA**,Apuesto,E,-0.7806247497997999,estresHistory,52,0,12
85,AABB**,Apuesto,E,0.4703145891227777,estresHistory,52,10,179
86,AAB***,Apuesto,E,0.25963426230198383,estresHistory,52,10,191
87,AA*A**,Apuesto,E,-1.561173176705833,estresHistory,52,2,116
88,AA*B**,Apuesto,E,0.7019034626611518,estresHistory,52,17,298
89,AA****,Apuesto,E,-0.23087529401008633,estresHistory,52,19,414
90,ABAA**,Apuesto,E,-0.39031237489989995,estresHistory,52,0,3
91,ABAB**,Apuesto,E,-0.7473912964438375,estresHistory,52,0,11
92,ABA***,Apuesto,E,-0.8727650027355588,estresHistory,52,0,15
93,ABBA**,Apuesto,E,-0.22534695471649932,estresHistory,52,0,1
94,ABBB**,Apuesto,E,2.3558854628573447,estresHistory,52,8,75
95,ABB***,Apuesto,E,2.314485825324391,estresHistory,52,8,76
96,AB*A**,Apuesto,E,-0.45069390943299864,estresHistory,52,0,4
97,AB*B**,Apuesto,E,1.9327676784669838,estresHistory,52,8,86
98,AB****,Apuesto,E,1.7277158592491424,estresHistory,52,8,92
99,A*AA**,Apuesto,E,-1.414277703405959,estresHistory,52,2,106
100,A*AB**,Apuesto,E,0.2934228790444698,estresHistory,52,7,130
101,A*A***,Apuesto,E,-0.7431527748303657,estresHistory,52,9,237
102,A*BA**,Apuesto,E,-0.8125,estresHistory,52,0,13
103,A*BB**,Apuesto,E,1.674989942745329,estresHistory,52,18,254
104,A*B***,Apuesto,E,1.454421096153097,estresHistory,52,18,267
105,A**A**,Apuesto,E,-1.6172181768117306,estresHistory,52,2,120
106,A**B**,Apuesto,E,1.5329969532598318,estresHistory,52,25,384
107,A*****,Apuesto,E,0.527865956721429,estresHistory,52,27,506
108,BAAA**,Apuesto,E,0.33120312924323764,estresHistory,52,1,15
109,BAAB**,Apuesto,E,-0.6327017868738483,estresHistory,52,1,38
110,BAA***,Apuesto,E,-0.359540115567745,estresHistory,52,2,53
111,BABA**,Apuesto,E,1.166216880853134,estresHistory,52,1,7
112,BABB**,Apuesto,E,1.7423346105455448,estresHistory,52,7,77
113,BAB***,Apuesto,E,2.004816201965408,estresHistory,52,8,84
114,BA*A**,Apuesto,E,0.9313170236828052,estresHistory,52,2,22
115,BA*B**,Apuesto,E,1.0620006696046866,estresHistory,52,8,115
116,BA****,Apuesto,E,1.719074599428489,estresHistory,52,11,138
117,BBAA**,Apuesto,E,-1.2546787437427958,estresHistory,52,0,31
118,BBAB**,Apuesto,E,-0.6327017868738483,estresHistory,52,1,38
119,BBA***,Apuesto,E,-1.328058943089004,estresHistory,52,1,70
120,BBBA**,Apuesto,E,0.28539089649269633,estresHistory,52,2,34
