,feat,cat,class,classcat,score,nx,ncx,nc
0,ejerHistory,AAAA,obesity,1,-0.7049250755213367,188,23,213
1,ejerHistory,AAAB,obesity,1,-1.1688863903111097,34,2,213
2,ejerHistory,AABA,obesity,1,-1.6613628754089038,17,0,213
3,ejerHistory,AABB,obesity,1,-0.48864261458707214,44,6,213
4,ejerHistory,ABAA,obesity,1,0.17295620823794713,29,7,213
5,ejerHistory,ABAB,obesity,1,0.025036078161324832,11,2,213
6,ejerHistory,ABBA,obesity,1,-0.38042902994683947,10,1,213
7,ejerHistory,ABBB,obesity,1,0.5358617019273155,28,9,213
8,ejerHistory,BAAA,obesity,1,0.21207462483341832,62,16,213
9,ejerHistory,BAAB,obesity,1,0.4180786662709321,24,7,213
10,ejerHistory,BABA,obesity,1,0.2481796294755345,9,2,213
11,ejerHistory,BABB,obesity,1,0.18755500765909977,21,5,213
12,ejerHistory,BBAA,obesity,1,0.3986605804138306,110,33,213
13,ejerHistory,BBAB,obesity,1,-0.20607564280206192,24,4,213
14,ejerHistory,BBBA,obesity,1,0.7480362218709513,87,33,213
15,ejerHistory,BBBB,obesity,1,0.20050616000617785,241,63,213
